# class-to-slot map for migrating off @zeroship/ui class names.
#
# Generated from 3713c8ffe, the last commit where components emitted BOTH the
# zs-* classes and their data-slot attributes. It cannot be regenerated: the
# classes were deleted in 574330b6b, and the pairing was only derivable while
# both forms sat on the same element. Recovering it needs a git worktree at
# that commit, which is why it is committed here instead.
#
# Names drifted, so a slot cannot be derived from a class: zs-pricing is
# pricing-table, zs-data-table__th is data-table-column-header. One class may
# map to several slots (zs-section-eyebrow covers six sections), which is why
# some selectors need :is(...).
#
# Columns: class<TAB>slot
`zs-popover__close ${callerClassName}`	popover-close
zs-radio-field--lg	switch-field
zs-radio-field--md	checkbox-field
zs-radio-field--md	radio-field
zs-radio-field--md	switch-field
zs-radio-field--sm	checkbox-field
zs-radio-field--sm	radio-field
zs-radio-field--sm	switch-field
zs-radio-field__text	radio-field-text
zs-radio-group	radio-group
zs-radio-group--horizontal	radio-group
zs-radio-group--lg	radio-group
zs-radio-group--md	radio-group
zs-radio-group--sm	radio-group
zs-radio-group--vertical	radio-group
zs-radio__indicator	radio-indicator
zs-responsive-picture	responsive-picture
zs-responsive-picture__img	responsive-picture-img
zs-scroll-rail	scroll-rail
zs-scrollarea	scrollarea
zs-scrollarea__content	scrollarea-content
zs-scrollarea__corner	scrollarea-corner
zs-scrollarea__scrollbar	scrollarea-scrollbar
zs-scrollarea__scrollbar--horizontal	scrollarea-scrollbar
zs-scrollarea__scrollbar--vertical	scrollarea-scrollbar
zs-scrollarea__thumb	scrollarea-thumb
zs-scrollarea__viewport	scrollarea-viewport
zs-section-eyebrow	cta-eyebrow
zs-section-eyebrow	faq-eyebrow
zs-section-eyebrow	feature-grid-eyebrow
zs-section-eyebrow	hero-eyebrow
zs-section-eyebrow	section-header-eyebrow
zs-section-eyebrow	stats-band-eyebrow
zs-section-frame	section-frame
zs-section-frame__inner	section-frame-inner
zs-section-header	section-header
zs-section-header__actions	section-header-actions
zs-section-header__description	section-header-description
zs-section-header__eyebrow	section-header-eyebrow
zs-section-header__text	section-header-text
zs-section-header__title	section-header-title
zs-select-group	select-group
zs-select-group-label	select-group-label
zs-select-item	select-item
zs-select-item__indicator	select-item-indicator
zs-select-item__text	select-item-text
zs-select-list	select-list
zs-select-popup	select-popup
zs-select-popup--lg	select-popup
zs-select-popup--md	select-popup
zs-select-popup--sm	select-popup
zs-select-positioner	select-positioner
zs-select-separator	select-separator
zs-select-trigger	select-trigger
zs-select-trigger--default	select-trigger
zs-select-trigger--lg	select-trigger
zs-select-trigger--md	select-trigger
zs-select-trigger--outline	select-trigger
zs-select-trigger--sm	select-trigger
zs-select-trigger__icon	select-trigger-icon
zs-select-trigger__value	select-trigger-value
zs-separator	separator
zs-separator--hairline	separator
zs-separator--horizontal	separator
zs-separator--thick	separator
zs-separator--vertical	separator
zs-skeleton	skeleton
zs-skeleton	skeleton-line
zs-skeleton--circle	skeleton
zs-skeleton--rect	skeleton
zs-skeleton--text	skeleton
zs-skeleton--text	skeleton-line
zs-skeleton-lines	skeleton
zs-skip-link	skip-link
zs-slider	slider
zs-slider--default	slider
zs-slider--horizontal	slider
zs-slider--lg	slider
zs-slider--md	slider
zs-slider--outline	slider
zs-slider--sm	slider
zs-slider--vertical	slider
zs-slider__control	slider-control
zs-slider__indicator	slider-indicator
zs-slider__thumb	slider-thumb
zs-slider__thumb-suffix	slider-thumb-suffix
zs-slider__track	slider-track
zs-slider__value	slider-value
zs-spinner	spinner
zs-spinner--lg	spinner
zs-spinner--md	spinner
zs-spinner--sm	spinner
zs-spinner__ring	spinner-ring
zs-split	split
zs-split__main	split-main
zs-split__side	split-side
zs-stack	stack
zs-stat-card	stat-card
zs-stat-card__delta	stat-card-delta
zs-stat-card__delta-glyph	stat-card-delta-glyph
zs-stat-card__head	stat-card-head
zs-stat-card__icon	stat-card-icon
zs-stat-card__label	stat-card-label
zs-stat-card__value	stat-card-value
zs-stats-band	stats-band
zs-stats-band__description	stats-band-description
zs-stats-band__eyebrow	stats-band-eyebrow
zs-stats-band__header	stats-band-header
zs-stats-band__items	stats-band-items
zs-stats-band__stat	stats-band-stat
zs-stats-band__stat-description	stats-band-stat-description
zs-stats-band__stat-label	stats-band-stat-label
zs-stats-band__stat-value	stats-band-stat-value
zs-stats-band__title	stats-band-title
zs-stepper	stepper
zs-stepper__check	stepper-check
zs-stepper__connector	stepper-connector
zs-stepper__description	stepper-description
zs-stepper__indicator	stepper-indicator
zs-stepper__label	stepper-label
zs-stepper__step	stepper-step
zs-stepper__text	stepper-text
zs-stepper__trigger	stepper-trigger
zs-switch	switch
zs-switch--lg	switch
zs-switch--md	switch
zs-switch--sm	switch
zs-switch-field	checkbox-field
zs-switch-field	radio-field
zs-switch-field	switch-field
zs-switch-field--lg	checkbox-field
zs-switch-field--lg	radio-field
zs-switch-field--lg	switch-field
zs-switch-field--md	checkbox-field
zs-switch-field--md	radio-field
zs-switch-field--md	switch-field
zs-switch-field--sm	checkbox-field
zs-switch-field--sm	radio-field
zs-switch-field--sm	switch-field
zs-switch-field__text	switch-field-text
zs-switch__thumb	switch-thumb
zs-tabs	tabs
zs-tabs--card	tabs
zs-tabs--default	tabs
zs-tabs--horizontal	tabs
zs-tabs--lg	tabs
